Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Pau Gasol,gasolpa01,NBA,2003-04,Europe,Spain,Barcelona,19,,,,22.0
Pascal Siakam,siakapa01,NBA,2021-22,Africa,Cameroon,Douala,19,,,,11.0
Detlef Schrempf,schrede01,NBA,1989-90,Europe,Germany,Leverkusen,19,,,,37.0
Zydrunas Ilgauskas,ilgauzy01,NBA,2004-05,Europe,Lithuania,Kaunas,69,,,,68.0
Marcin Gortat,gortama01,NBA,2013-14,Europe,Poland,Lodz,19,,,,68.0
Anderson Varejão,varejan01,NBA,2009-10,South America,Brazil,Santa Teresa,19,,,,24.0
Enes Freedom,kanteen01,NBA,2015-16,Europe,Switzerland,Zurich,19,,,,37.0
Rudy Gobert,goberru01,NBA,2017-18,Europe,France,Saint-Quentin,19,,,,22.0
Tony Parker,parketo01,NBA,2004-05,Europe,Belgium,Bruges,19,,,,22.0
Dirk Nowitzki,nowitdi01,NBA,1999-00,Europe,Germany,Wurzburg,19,,,,37.0
Gheorghe Mureșan,muresgh01,NBA,1995-96,Europe,Romania,Triteni,18,,,,24.0
Rolando Blackman,blackro01,NBA,1986-87,North America,Panama,Panama City,68,,,,19.0
Andris Biedriņš,biedran01,NBA,2007-08,Europe,Latvia,Riga,18,,,,68.0
Wally Szczerbiak,szczewa02,NBA,2005-06,Europe,Spain,Madrid,18,,,,22.0
Anderson Varejão,varejan01,NBA,2008-09,South America,Brazil,Santa Teresa,18,,,,24.0
Detlef Schrempf,schrede01,NBA,1996-97,Europe,Germany,Leverkusen,68,,,,37.0
Peja Stojaković,stojape01,NBA,2005-06,Europe,Croatia,Slavonska Pozega,18,,,,68.0
Steve Nash,nashst01,NBA,2010-11,Africa,South Africa,Johannesburg,18,,,,16.0
Kristaps Porziņģis,porzikr01,NBA,2023-24,Europe,Latvia,Liepaja,18,,,,68.0
Jonas Valančiūnas,valanjo01,NBA,2016-17,Europe,Lithuania,Utena,18,,,,68.0
Nicolas Batum,batumni01,NBA,2013-14,Europe,France,Lisieux,18,,,,22.0
